"id","lat","lon","updated"
"HNX","38.7645525984000","-122.3047334980000","2008-12-12 13:11:35"
"HOU","30.2817443416000","-96.1970997973000","2008-12-12 13:11:35"
"HPX","39.2009714855000","-89.9733810980000","2008-12-12 13:11:35"
"HTX","37.3395764160000","-88.7119366455000","2008-12-12 13:11:35"
"HWA","21.1879427546000","-157.8522903160000","2008-12-12 13:11:35"
"ICT","40.1480526179000","-100.1641991910000","2008-12-12 13:11:35"
"ICX","40.0829357771000","-115.5798885280000","2008-12-12 13:11:35"
"ILN","41.9759656594000","-86.6107500111000","2008-12-12 13:11:35"
"ILX","42.7342396545000","-92.1555043030000","2008-12-12 13:11:35"
"IND","42.2745913280000","-89.0803413946000","2008-12-12 13:11:36"
"INX","38.6212041959000","-98.2329952864000","2008-12-12 13:11:36"
